교량명,시군구명,최종안전점검결과,준공후경과년수,시설물종별등급구분,교량시작점위도,교량시작점경도
내리고가차도,안성시,B,22,2,37.012191,127.224813
오산육교,용인시 처인구,B,22,기타,37.330901,127.148311
양촌교,용인시 처인구,B,22,3,37.330161,127.155365
능원교,용인시 처인구,B,22,2,37.338796,127.171456
능원육교,용인시 처인구,B,22,3,37.339463,127.176394
동림육교,용인시 처인구,B,22,2,37.340126,127.191157
문형교,광주시,B,22,1,37.341474,127.19692
문형2교,광주시,B,22,2,37.347343,127.209728
문형육교,광주시,B,22,3,37.34867,127.212386
추자육교,광주시,B,22,2,37.362241,127.229666
오포육교,광주시,B,22,3,37.370704,127.23404
진암교,이천시,B,21,3,37.105885,127.613184
진암1교,이천시,B,21,3,37.114664,127.605492
진암2교,이천시,B,21,기타,37.116048,127.605194
진암3교,이천시,B,21,3,37.115467,127.606889
제암육교,화성시,B,21,2,37.117477,126.900494
발안교,화성시,B,21,2,37.124115,126.898918
제암1육교,화성시,B,21,3,37.128009,126.897751
발안1육교,화성시,B,21,기타,37.133418,126.895848
지월육교,화성시,B,21,기타,37.143457,126.892568
구장육교,화성시,B,21,기타,37.154231,126.891905
팔탄육교,화성시,B,21,3,37.169333,126.890498
자안교,화성시,B,21,3,37.194605,126.879201
자안1육교,화성시,C,21,3,37.197673,126.878777
자안2육교,화성시,B,21,3,37.200035,126.878684
양노육교,화성시,B,21,기타,37.216463,126.872888
양노1육교,화성시,B,21,3,37.223317,126.875712
양노2육교,화성시,B,21,기타,37.226713,126.877398
쌍학1육교,화성시,C,21,3,37.243679,126.890021
쌍학1교,화성시,C,21,3,37.244267,126.890433
쌍학2교,화성시,C,21,3,37.244389,126.890336
쌍학2육교,화성시,B,21,2,37.246503,126.891943
쌍학3육교,화성시,B,21,2,37.248452,126.893294
숙곡교,화성시,B,21,3,37.25114,126.895273
야목육교,화성시,B,21,3,37.253836,126.898001
율암육교,화성시,B,21,3,37.155364,126.891721
향산교,김포시,B,20,3,37.619238,126.740559
태리IC육교(상),김포시,B,20,3,37.610553,126.741227
태리IC육교(하),김포시,B,20,3,37.610519,126.741082
태리IC램프A교,김포시,B,20,3,37.610344,126.740132
태리IC램프D교,김포시,B,20,3,37.610502,126.740092
